Serial,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Label
1,0.7408129545673596,0.15493751083096463,0.6756190410304505,0.324349304047973,0.20824926539642585,0.8158097120491288,0.8189606551539124,2.5487399203682135
2,0.7445713744587673,0.49768982191943056,0.6879374880727139,0.8414846299389979,0.35222585437691967,0.3501262877892086,0.516104659481223,2.440935237261143
3,0.8778247255657137,0.9942234610821709,0.39611808106055535,0.7551331327272666,0.7168395415137179,0.26846231610342464,0.06895299517313458,2.8287723221299017
4,0.25358125237366447,0.21021173010376248,0.4823600789744137,0.22147540910288466,0.5358232207312342,0.8861574258439181,0.46282631491140525,2.093029626443601
5,0.39123274971008093,0.3979405010247299,0.49637148255458174,0.5493528523352935,0.6606006477165434,0.038867850327183984,0.7995096005392492,1.9791022084546044
6,0.5556211722283237,0.4549569027742849,0.28604122161899503,0.018607466279616514,0.04470729178661714,0.17062670897975363,0.28227405654241755,1.4273273797447468
7,0.1447877516188174,0.15480169687979206,0.8784938739481919,0.4119775328403936,0.4545275180075323,0.006067737751740299,0.2275612545056196,1.3523013002431268
8,0.3402344757519783,0.06557843360029825,0.5490054113030085,0.5756047163456202,0.7364744169520199,0.6542260015123309,0.5665751834372904,2.1303791116972555
9,0.7533742905305262,0.36994337782701037,0.10627994012737019,0.0571221589309876,0.5412057075366613,0.49355002486582844,0.3583154146986912,1.9695673867930412
10,0.28746746971471027,0.6789035612777683,0.5826757284317979,0.9292753715365906,0.587889148620656,0.1837311852064083,0.6763344634151632,2.313976923040825
11,0.42924902658892383,0.2719325558063289,0.790866959158094,0.705991628788575,0.1203384940431168,0.09707267448579704,0.12527918627241974,1.889342604141233
12,0.45105402128308536,0.6792545280362821,0.7838998018060233,0.5217940480231708,0.8946103163328294,0.39375264313718916,0.5498107722910351,2.834396993404472
13,0.023853637734184696,0.3254540039468592,0.9549499927566262,0.8728427082448331,0.2752093275798386,0.47475808883520076,0.7569757059149265,2.1816480651056738
14,0.7690231440441473,0.14995655596543556,0.9440925654954474,0.8884587238191644,0.18804701858199024,0.36384169958777124,0.5526162642891905,2.5184518094794144
15,0.048870861375021835,0.711863928078258,0.4068329447886986,0.0034673510701178634,0.789638494912994,0.32479932771477904,0.27689568298521483,1.582135102356403
16,0.7492940110102595,0.3706771766815897,0.8881385336676137,0.05929765588518143,0.5693596787109988,0.9471037227089544,0.8056440836409773,3.1061210273969357
17,0.8763580557799289,0.5909054609145381,0.29936319993252514,0.08455700468581118,0.5166208634429511,0.448054439925506,0.7850085452035225,2.387702880399302
18,0.870437839475018,0.3606061705727206,0.4974040919986906,0.9583781604102863,0.13013505111304513,0.6629388397842294,0.2752218738873784,2.5952079317344725
19,0.5389020389946948,0.11769647290324792,0.32841731727542045,0.4375066702166228,0.5441783827646917,0.01738779576681415,0.3197202822574302,1.4951035316850896
20,0.189772682727948,0.25103189196083375,0.6228229060921855,0.11393793698164811,0.6670417606983091,0.12568262404562336,0.6923855820496099,1.6277425942688066
21,0.4244372357100148,0.8493679283333099,0.26407294732168096,0.9357019767577587,0.9825608589432151,0.2676550956825796,0.4014958852887939,2.246023573361849
22,0.5430054542316121,0.8960053014361723,0.03408997952993109,0.9599165226994463,0.43037634798019664,0.8125772308132967,0.3986772132460886,2.7859748594671174
23,0.6143157373003519,0.7093852885522257,0.47668759236831515,0.03309808864300312,0.05782523073535495,0.361681828495966,0.8961239090224221,2.051631326402614
24,0.32947282235669795,0.8644936378126075,0.9781128036015693,0.09157249120297584,0.05374475446824445,0.756802543697642,0.5366338266120311,2.617655299706682
25,0.11728437672059155,0.8526186480261857,0.9749189705544598,0.6210407072779524,0.3428770754346375,0.46737615284267353,0.2257048835745924,2.474243684366024
26,0.22589061464709326,0.1992792206870757,0.9460952144708795,0.2616637460844521,0.9550728278836581,0.48710965290147457,0.27547341805045056,2.1783603455460483
27,0.7668066696645329,0.9438184938431975,0.0060073535997849925,0.25159348241235435,0.55901979316083,0.8711050417476939,0.3111522049871921,2.789635075520244
28,0.6772061671974273,0.9060989339685083,0.8022618168932001,0.8542477992358672,0.7610251477549027,0.367060781326926,0.9053590325450623,3.278926450067343
29,0.036371944757834784,0.8478664578540419,0.6185196614748389,0.28861869353295877,0.23085567787815509,0.46111614564028625,0.06552991450334578,1.7780226878275196
30,0.23136799537717223,0.5055473664893259,0.7386176514221584,0.19617246804131105,0.28543933951101796,0.46553723691176674,0.1722234474845632,1.8776435601979062
31,0.7289630788434409,0.6671184990368239,0.05622164690675513,0.3545524462278844,0.6558152654874849,0.004634704539098089,0.481914645926084,1.8044732969062742
32,0.42439495279963546,0.274941146924755,0.27557422723593006,0.1399512586645434,0.2970690542536968,0.7229497548309023,0.09893785207179906,1.8699413413883565
33,0.18833308784806724,0.5107709484697274,0.934847683155365,0.8397024179075947,0.963504218843367,0.8724261258085864,0.1858067578334014,2.989364370476322
34,0.09888408936630355,0.5630275218988599,0.12678100869681264,0.02947030282384122,0.8080310877776969,0.06224774219448059,0.3961257214263504,1.1200109292810825
35,0.22499283338725995,0.8137995399206679,0.7422509141177048,0.17862940428173268,0.5646552389308386,0.6277422472515286,0.6443398494054569,2.535083495999446
36,0.30270905456131625,0.5366519910625449,0.15219464505739722,0.9641021750008186,0.40879927994572196,0.6984602831932969,0.5731710264164993,2.1952340464725304
37,0.6356508670434782,0.06870489887021747,0.9594354297674771,0.28690575847111854,0.275469067863649,0.932492722152883,0.7248252399384895,2.534341202955518
38,0.3920364654064443,0.830193645510521,0.8793610881235682,0.44126473958929013,0.7108303851293221,0.4343444339636604,0.036983575954917636,2.6884567462703566
39,0.19993337663841215,0.6362815196319648,0.6460522525024195,0.5165947906436912,0.0782421463643791,0.46135430330946703,0.12480629657749776,1.8106247021457293
40,0.01955950581409671,0.9203622429776214,0.5919660850308996,0.29340038663927026,0.2550001051740467,0.4760115563396866,0.4299959110356484,2.0011732775626294
41,0.6452487236534794,0.4081313930218289,0.9525060008968813,0.30074469380023694,0.3539024295966945,0.1509972794428054,0.9122525533641023,2.3589454137193773
42,0.9149212464323143,0.8399513872504031,0.38059174711590116,0.8242945559257921,0.1346587670831001,0.2817493005208428,0.7398014153982853,2.5501050414406685
43,0.8573131043912594,0.8032427954709093,0.09602545253191586,0.28382631121487556,0.8458949823954589,0.7933923950653522,0.24069051919573003,2.9048798104054314
44,0.24564025331505912,0.006966905326214579,0.7921029446289314,0.8946152538173305,0.10430518628293683,0.7413564336920216,0.5569035185827743,2.020678534344791
45,0.19766363092630646,0.7508478846088763,0.6468935698014068,0.969494418294488,0.723568801058895,0.6150816692839357,0.15402445730695669,2.571472207011896
46,0.12056824577232006,0.2871091435467643,0.5167978028925411,0.7369843586888628,0.7963008811343751,0.9361465381245548,0.9186981501067455,2.5085638781356905
47,0.9454414633696681,0.8121152125166107,0.27856794526562956,0.43255986695890536,0.2133211718194895,0.8811064781857568,0.8081043690158394,2.807852239968306
48,0.05577855568530343,0.38503079849040867,0.2178249559739881,0.0016327327116285595,0.04685919292748841,0.5547747201309099,0.9399191198182865,1.2608085212550153
49,0.5724998670428236,0.47692220148201814,0.7984379188051289,0.47794804240088373,0.9023547324821898,0.5348785479506848,0.4791416971522282,2.790949071084856
50,0.07155366435367594,0.04911727842895519,0.647058969218382,0.8942355692208295,0.7039284653041217,0.7097410516548075,0.9321968930393009,2.3490053780333233
51,0.29922147239041463,0.9779318932484622,0.5378813427906041,0.13723007571313062,0.5123514276851641,0.7726999449330418,0.8857962422927175,2.675471219005609
52,0.5671182369029811,0.09352304606568718,0.5000147820520099,0.6539264983415607,0.3937134710397364,0.8911805397684417,0.9881951267533453,2.586292920624097
53,0.8560862294268632,0.21994158349947945,0.9638900449456383,0.8039017927338068,0.4849256563339881,0.2778276218243565,0.33591424658670777,2.831678046673737
54,0.49603361936846113,0.7735301517265215,0.7288596464359939,0.7350193007047033,0.06613604796612371,0.8050309139454512,0.6554353254337577,2.6503586647082193
55,0.5286477331628513,0.3175641904728601,0.6504023181176366,0.216452262994149,0.644036805262769,0.8879218516728731,0.4036242397625154,2.5910800556663287
56,0.9416869865652577,0.025502950645963307,0.9572024928102886,0.2900558513260755,0.046298961613421175,0.011345007898313941,0.18628800002228563,1.8498229109152753
57,0.44793764798531766,0.99945873306235,0.8822031780601809,0.6875374214584059,0.17941274089717263,0.4981488107614266,0.22203782966951247,2.6160678841311915
58,0.5861158158109009,0.29918717365408876,0.6412430000213366,0.5795430699067902,0.9119534611172644,0.978427281429413,0.7091593949107599,3.035548620974106
59,0.06188517346275013,0.9454628840164964,0.7246443378495623,0.4880280248506934,0.7108271902486575,0.4129377629959079,0.015352592735493387,2.1645537465267726
60,0.9707258993508258,0.08457859789650413,0.1716968949626032,0.1269197470827088,0.533580899054533,0.4190313678738119,0.9596612267806052,2.1061866901374926
61,0.3239123568950947,0.14817790442564638,0.7572192608645905,0.3439438661136375,0.7481190244845385,0.46044883988867935,0.3063077824125666,2.081400167889188
62,0.09779135473703604,0.2343273499751204,0.15464771080351736,0.971117654385954,0.6961306084212635,0.27333010520959933,0.3419511981359781,1.5231478895566102
63,0.020763379733370724,0.7733524612486418,0.9889485597006794,0.6246919722640092,0.31371528570203044,0.8277227877123233,0.25419522455726307,2.5355427202529617
64,0.29510319175682576,0.5253555058050275,0.6898791332621301,0.8031885409778382,0.5104046524266062,0.8751518933543005,0.1695689557460518,2.6832488119415645
65,0.45201809952178573,0.3342490058371218,0.6703557089394572,0.002630419200682743,0.907772478274106,0.8209934315835354,0.16821460793327614,2.5530142963065163
66,0.7166837683161266,0.39183996979431557,0.3751917734879212,0.03302105398982169,0.91159528628959,0.22118352586588985,0.9973731229797026,2.3790913762899186
67,0.8796330337476419,0.928199264006391,0.9997167902586759,0.13205667101332386,0.8866661095130521,0.42744120185663326,0.07955802296325043,3.2805987223951143
68,0.3244059755582892,0.9010636289812575,0.7020094415383157,0.06970056604139918,0.4361885650728633,0.13449411047052873,0.717980433158104,2.175889871145007
69,0.6422904815629372,0.5038096950945496,0.45046309783290395,0.04499704909192581,0.5358308629832164,0.9448991133383345,0.5482138776481421,2.674360167106986
70,0.3407563333716407,0.4675340444161521,0.9588251997378713,0.044270991024432105,0.46541914504642157,0.09506369666999959,0.0177982641335801,1.8473452212986574
71,0.5703483183699063,0.7443431490815,0.46908426479439,0.42322915794368254,0.9967894508044617,0.708162495491529,0.9026478532578982,2.8661273192815977
72,0.06326859584717592,0.41870302296761785,0.5336642270026876,0.18475147299491368,0.5366099341302012,0.2952618814045703,0.48125745977065204,1.523860338671602
73,0.29247203166054114,0.16511511666254686,0.13816155920867157,0.8473196665496046,0.5718488517552923,0.8308210846328992,0.622996962776492,2.034708451601426
74,0.24669439274342164,0.2624470334079234,0.40436138504227137,0.8484613236219978,0.7475823058572988,0.07719313603104716,0.9816023846063063,1.8628388120628425
75,0.06873435302945319,0.017724965066265974,0.7681394809265564,0.048147671205209686,0.06428402717404413,0.47627763281091473,0.08381635342035643,1.1735262355772593
76,0.41699405577156645,0.7969402229839447,0.4909798256589567,0.8390832396869415,0.2557594198524876,0.4177956295437084,0.20791692034042075,2.336248056719818
77,0.7854095954208805,0.7180472409431209,0.8063731557662788,0.04249981998230079,0.20374007435141883,0.3156637220509486,0.317104947746107,2.2713435619860483
78,0.7234592322715376,0.9591659807605819,0.45166285395239536,0.13755053755692526,0.9641197197458636,0.6811977926399981,0.592437720922782,3.2733854240970155
79,0.45530917735231813,0.1477369514434368,0.14627084160543447,0.12405789873371575,0.7835110447533195,0.44085793926402383,0.018891273919887763,1.6960202077959305
80,0.26593163934384123,0.646514577417453,0.9081761078410442,0.10241138842435105,0.7816010447626436,0.7278644128423858,0.39350526505860617,2.587824785514258
81,0.013720081326042632,0.6263324065726097,0.5308447783887648,0.5118821086527956,0.3599113604475652,0.2117871239753446,0.1129781819631055,1.5342207618723054
82,0.8965127490428304,0.5278888705516072,0.7034929729108039,0.5926280436328036,0.8345943368363276,0.13839995359746493,0.008786755802734136,2.701891933646497
83,0.7340423954200088,0.927401254506949,0.6504735503919816,0.30415529401766606,0.7155114737066772,0.18697597132223265,0.04357029336964524,2.522632392980992
