,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,label
0,0.7629112314061649,0.031083948133494535,0.8305910230361502,0.6498599575662292,0.4598067067961909,0.7298926817991169,0.7895321036178814,0.4553696512353391,0.7580459407795456,0.7523552004556944,2.625163839289149
1,0.9525553622613812,0.5803133375201968,0.5379249836800112,0.7748164354351021,0.4418459149661714,0.9676577408118499,0.7135731894050983,0.1628231394597244,0.25913151799297696,0.7861318113453178,2.365663951195128
2,0.5920524970301826,0.5968476390059135,0.12622356373026078,0.19630231894327568,0.2319270913937566,0.4979233060721386,0.2242396296794778,0.1707943992908313,0.36008538796269746,0.36519587648249,1.4084712351973268
3,0.5567117574435104,0.17575988483042843,0.7942635166971627,0.5357732015453162,0.1444592158881699,0.1239429962243982,0.7185824382332476,0.9574530331797262,0.6202809279166611,0.31599269720298084,1.8539964103864097
4,0.6968183523577081,0.41847229116339274,0.23286405239118835,0.7374841235016489,0.5636186221833958,0.0782789650183751,0.9636477095542377,0.9169744949970258,0.15318763933496155,0.45656346270635345,1.7633688185871275
5,0.558694457273727,0.16963572929197154,0.8852423661160458,0.397606413278084,0.8873659655586957,0.8251659158742904,0.4123870301381885,0.07931260334226549,0.42985488875512645,0.3908238469265462,2.22965162767305
6,0.7135193278988722,0.26987926569925774,0.10808103268084054,0.6631219711730417,0.9875207340072124,0.23689816286665544,0.8457847963690083,0.5325783713719396,0.9738101621415222,0.5944412372626574,2.194841180930385
7,0.6523767228997455,0.5161069315853557,0.7572808368559079,0.09521165933653336,0.6593296501837002,0.984841630166662,0.785545806701195,0.12043130655583519,0.14556408577552268,0.24826044167863934,2.075778259851045
8,0.13995742100255118,0.3780726288662362,0.9993463832051451,0.05986635569619307,0.022408620519662886,0.48162906389540977,0.2327344183392547,0.34916555582243025,0.6317943366844752,0.3639000026869481,1.6065896981902648
9,0.4855401194196524,0.6053134529702846,0.9564405666066299,0.2480043133374094,0.4813219814535315,0.0536863269471499,0.7391802373250398,0.30265921762641224,0.7346324941379955,0.11942031394498888,1.702048460997672
10,0.6854110752209726,0.5481209921078259,0.6064003672950741,0.5086749403434283,0.11716189840098266,0.6646583794045317,0.48450110991147427,0.6049310510086723,0.5152620873016815,0.235742822503207,2.0293822878176027
11,0.48780528473583845,0.3777758274236956,0.8681988356447176,0.8109586791639806,0.7789932351273317,0.47586403081362866,0.9833711256896689,0.1615399069172362,0.05687913827617669,0.05462064459437854,1.734896250570196
12,0.24873612163218223,0.01680940712788108,0.2832762517086744,0.5622191119864121,0.01648435055024837,0.5435226697140406,0.8009310506724237,0.6360889705673283,0.06066629557909197,0.5842299272921377,1.5565888052429182
13,0.17532049887833126,0.8929848246723793,0.9676145179800266,0.11182954346039872,0.07838257490140617,0.41879133322164835,0.44729236169850345,0.98424190325476,0.5525759587310609,0.2648099014015532,2.007536922795901
14,0.7013321170209184,0.21696393855834384,0.48670731360818476,0.15204538731046188,0.876778786361972,0.6983029719458336,0.1758706874355683,0.9054002126995363,0.3897438362681157,0.4202750882996157,2.4519776119476195
15,0.5517591796077101,0.6315960828704508,0.4736488506282677,0.5128855723316088,0.9394554353498018,0.7977341529568741,0.35391976876769105,0.22099871264066517,0.49276091227895724,0.04752261065419385,2.1044389243631
16,0.9499678100196738,0.6557302740389911,0.6313476841539463,0.22605075709368613,0.7499905187962561,0.5350033146459985,0.5506339341842038,0.9356491773647797,0.7415365179897156,0.7542178431966108,2.748379155522925
17,0.2902510732077352,0.24691005416794323,0.4235627924069427,0.49550247236591227,0.4564497787876528,0.8271449028772073,0.731721041058949,0.5735052874962195,0.5163431178874092,0.7684765411465033,2.303984837390034
18,0.3852019226045176,0.9216072703126953,0.9785560560252689,0.801652242672666,0.3886448496096341,0.5691679769762837,0.800179559359825,0.3582498643870926,0.17954034008084205,0.20977015306464772,1.866478125685318
19,0.10046101584409842,0.8808567497846379,0.6409665803143502,0.8805837361111194,0.8821368323595521,0.49902970994938667,0.24296572688368223,0.8501370894361383,0.03502994436220386,0.5213287031120792,2.085335256591545
20,0.22445934290825814,0.4452888212527125,0.5733430306268391,0.15352208478037113,0.16432170483450145,0.42493733512776505,0.24544843756290793,0.8808374986921857,0.11192913508549193,0.2988925214961811,1.5113048187381641
21,0.5619855681190503,0.31303330361542203,0.14143209175519428,0.5037342779380946,0.24776977374462475,0.3832021829785839,0.2854543285524251,0.6279543014060887,0.22896525699787373,0.40177501170549684,1.516804376041119
22,0.5149764404050698,0.0496344702433036,0.03739374875332854,0.790331230194479,0.8191781080716063,0.15235602464794634,0.5109632184612255,0.6529759254825722,0.04778639409480488,0.23059804104711504,1.3699382103204387
23,0.01191800303238354,0.10251180552889362,0.9993465018143091,0.39802679301352223,0.09940007066352105,0.05191526926926255,0.23043565340945035,0.22650734876901654,0.7806281889832555,0.11601298467739629,1.1976226405060217
24,0.811926267944167,0.43230625069507483,0.17370862626734543,0.5000939295017467,0.9887807993418125,0.40725337673938095,0.8037363201049876,0.3074948116594936,0.46658171014726185,0.3395900659352828,2.002464860473873
25,0.8028260902353469,0.2075086310144745,0.334422919286881,0.7504279191982601,0.07212591294529902,0.6679835504549005,0.4727445875282527,0.3383011365421658,0.19878965285449396,0.822675140119814,1.7334681026553187
26,0.40086908233131185,0.9433728005587103,0.8530424893361582,0.23957416487744002,0.9879506541478452,0.8103496734651279,0.42145447893610055,0.5883183722954844,0.20638945448609797,0.5380607380058123,2.4950302918262888
27,0.9342356393107201,0.5123701299241151,0.8658095661391825,0.7331367805183813,0.1296478420103052,0.49335725349269277,0.4865016460430342,0.12376269699308137,0.8308571344201211,0.24289806666534405,1.8704679184160597
